word,frequency,standard_definition,standard_example
codes,2,"A short symbol, often with little relation to the item it represents.",This flavour of soup has been assigned the code WRT-9.
som,2,The currency of Uzbekistan.,
devait,2,unknown,unknown
dimanche,2,unknown,unknown
tre,2,unknown,unknown
mercredi,2,unknown,unknown
fanart,2,unknown,unknown
esse,2,unknown,unknown
parat,2,unknown,unknown
croire,2,unknown,unknown
google,2,To deliver googlies.,
liked,2,"To enjoy, be pleased by; favor; be in favor of.",I like hamburgers.
dozens,2,A set of twelve.,"Can I have a dozen eggs, please?"
pikmin,2,unknown,unknown
nord,2,unknown,unknown
voiture,2,unknown,unknown
ouverte,2,unknown,unknown
prix,2,unknown,unknown
quils,2,unknown,unknown
monde,2,unknown,unknown
captioned,2,To add captions to a text or illustration.,Only once the drawing is done will the letterer caption it.
bonne,2,A French nursemaid.,
closest,2,(physical) To remove a gap.,
playing,2,To act in a manner such that one has fun; to engage in activities expressly for the purpose of recreation or entertainment.,They played long and hard.
booksky,2,unknown,unknown
liran,2,unknown,unknown
pourtant,2,unknown,unknown
usa,2,unknown,unknown
wants,2,"A desire, wish, longing.",
tant,2,unknown,unknown
tes,2,unknown,unknown
grandparents,2,"To be, or act as, a grandfather to.",
cousins,2,The child of a person's uncle or aunt; a first cousin.,I think my cousin is a good man.
pris,2,unknown,unknown
bcp,2,unknown,unknown
qqch,2,unknown,unknown
imparfait,2,unknown,unknown
alors,2,unknown,unknown
haiku,2,"A Japanese poem in three lines, the first and last consisting of five morae, and the second consisting of seven morae, usually with an emphasis on the season or a naturalistic theme.",
aprs,2,unknown,unknown
sest,2,unknown,unknown
journe,2,unknown,unknown
peu,2,unknown,unknown
frais,2,unknown,unknown
moins,2,unknown,unknown
heure,2,unknown,unknown
issues,2,"The action or an instance of flowing or coming out, an outflow, particularly:",
nbn,2,unknown,unknown
services,2,An act of being of assistance to someone.,I say I did him a service by ending our relationship – now he can freely pursue his career.
uses,2,The act of using.,The use of torture has been condemned by the United Nations.
notes,2,(heading) A symbol or annotation.,
sites,2,"Sorrow, grief.",
nerds,2,(sometimes derogatory) A person who is intellectual but generally introverted,
sobre,2,unknown,unknown
ionos,2,unknown,unknown
kigigafactory,2,unknown,unknown
als,2,"The Indian mulberry, Morinda citrifolia, especially as used to make dye.",
fitur,2,unknown,unknown
facebook,2,To use the social-networking site Facebook.,
inovasi,2,unknown,unknown
praktis,2,unknown,unknown
harapan,2,unknown,unknown
rakyat,2,An ordinary citizen.,
lights,2,"Visible electromagnetic radiation. The human eye can typically detect radiation (light) in the wavelength range of about 400 to 750 nanometers. Nearby shorter and longer wavelength ranges, although not visible, are commonly called ultraviolet and infrared light.","As you can see, this spacious dining-room gets a lot of light in the mornings."
says,2,A chance to speak; the right or power to influence or make a decision.,
ethernet,2,A computer network that complies with this set of standards.,
tudo,2,unknown,unknown
decades,2,"A group, set, or series of ten , particularly:",a decade of soldiers
adianta,2,unknown,unknown
marcin,2,unknown,unknown
dubiel,2,unknown,unknown
youtube,2,"Any website that allows users to upload content, particularly YouTube itself.",
games,2,A playful or competitive activity.,
channels,2,"The physical confine of a river or slough, consisting of a bed and banks.",The water coming out of the waterwheel created a standing wave in the channel.
anymore,2,"(in negative or interrogative constructions) From a given time onwards; longer, again.",They don't make repairable radios any more.
iirc,2,unknown,unknown
feliz,2,unknown,unknown
com,2,unknown,unknown
peterson,2,unknown,unknown
todays,2,unknown,unknown
estamos,2,unknown,unknown
tempos,2,A frequency or rate.,
linux,2,Any unix-like operating system distro that uses the Linux kernel.,
claiming,2,To demand ownership of.,
lexy,2,unknown,unknown
chaplin,2,unknown,unknown
parents,2,One of the two persons from whom one is immediately biologically descended; a mother or father.,
boven,2,unknown,unknown
niet,2,unknown,unknown
maar,2,"A broad volcanic crater, usually filled with water to form a lake.",
echt,2,"Proper, real, genuine, true to type",
gets,2,Offspring.,
tbh,2,unknown,unknown
tiktokers,2,unknown,unknown
schumer,2,unknown,unknown
ones,2,The digit or figure 1.,
knows,2,Knowledge; the state of knowing.,
changed,2,To become something different.,The tadpole changed into a frog.   Stock prices are constantly changing.
pronunciou,2,unknown,unknown
tem,2,unknown,unknown
failed,2,To be unsuccessful.,"Throughout my life, I have always failed."
months,2,"A period into which a year is divided, historically based on the phases of the moon.",July is my favourite month.
trolls,2,"A supernatural being of varying size, now especially a grotesque humanoid creature living in caves or hills or under bridges.",
spaces,2,(heading) Of time.,
iranians,2,unknown,unknown
hates,2,An object of hatred.,One of my pet hates is traffic wardens.
mystics,2,Someone who practices mysticism.,
eastcoastkin,2,unknown,unknown
palou,2,unknown,unknown
massie,2,unknown,unknown
indie,2,An independent publisher.,
bollywood,2,unknown,unknown
middletons,2,unknown,unknown
runs,2,"Act or instance of running, of moving rapidly using the feet.",I just got back from my morning run.
femboy,2,unknown,unknown
hashtags,2,"A metadata tag, signaled by a preceding hash sign (#), used to label content.",
dropped,2,To fall in droplets (of a liquid).,
gre,2,unknown,unknown
emojis,2,"A digital graphic icon with a unique code point used to represent a concept or object, originally used in Japanese text messaging but since adopted internationally in other contexts such as social media.",
farms,2,"A place where agricultural and similar activities take place, especially the growing of crops or the raising of livestock.",
steaks,2,"Beefsteak, a slice of beef, broiled or cut for broiling.",
viralvideos,2,unknown,unknown
tiktokviral,2,unknown,unknown
viralshorts,2,unknown,unknown
alienstage,2,unknown,unknown
luka,2,unknown,unknown
vivions,2,unknown,unknown
cosplay,2,The art or practice of costuming oneself as a (usually fictional) character.,
takes,2,The or an act of taking.,
causes,2,"(often with of, typically of adverse results) The source of, or reason for, an event or action; that which produces or effects a result.",They identified a burst pipe as the cause of the flooding.
goonsky,2,unknown,unknown
memecoins,2,unknown,unknown
hype,2,Promotion or propaganda; especially exaggerated claims.,"After all the hype for the diet plan, only the results ended up slim."
mundial,2,unknown,unknown
bossjanesoul,2,unknown,unknown
blackhair,2,unknown,unknown
spots,2,"A round or irregular patch on the surface of a thing having a different color, texture etc. and generally round in shape.",The leopard is noted for the spots of color in its fur.
checking,2,To inspect; to examine.,Check the oil in your car once a month.
taco,2,"A Mexican snack food; a small tortilla (soft or hard shelled), with typically some type of meat, rice, beans, cheese, diced vegetables (usually tomatoes and lettuce, as served in the United States, and cilantro, onion, and avocado, as served in México) and salsa.",
lapollamichelle,2,unknown,unknown
hotgirls,2,unknown,unknown
blackhairbeauty,2,unknown,unknown
believes,2,"To accept as true, particularly without absolute certainty (i.e., as opposed to knowing)",I believe there are faeries.
blockmaga,2,unknown,unknown
jdvance,2,unknown,unknown
littlemarco,2,unknown,unknown
marcorubio,2,unknown,unknown
petehegseth,2,unknown,unknown
hegseth,2,unknown,unknown
whiskeypete,2,unknown,unknown
orangangutan,2,unknown,unknown
breakingnews,2,unknown,unknown
pouvoir,2,unknown,unknown
russi,2,unknown,unknown
nuit,2,unknown,unknown
veux,2,unknown,unknown
bakraeid,2,unknown,unknown
cowmandi,2,unknown,unknown
eidmubarak,2,unknown,unknown
bakramandi,2,unknown,unknown
cattlefarm,2,unknown,unknown
northernbypassmandi,2,unknown,unknown
maweshimandi,2,unknown,unknown
bhainscolonymandi,2,unknown,unknown
malircowmandi,2,unknown,unknown
lalukhetmarket,2,unknown,unknown
vlog,2,A weblog using video as its primary presentation format.,
dailyvlog,2,unknown,unknown
multan,2,unknown,unknown
bhawalpur,2,unknown,unknown
eles,2,unknown,unknown
uma,2,unknown,unknown
aventura,2,unknown,unknown
gonzo,2,Gonzo journalism or a journalist who produces such journalism.,
heres,2,unknown,unknown
meses,2,unknown,unknown
tweeted,2,"To make a short high-pitched sound, like that of certain birds.",
blog,2,"A website that allows users to reflect, share opinions, and discuss various topics in the form of an online journal, sometimes letting readers comment on their posts. Most blogs are written in a slightly informal tone (personal journals, news, businesses, etc.)",
responses,2,"An answer or reply, or something in the nature of an answer or reply.",
kid,2,A young goat.,"He treated the oxen like they didn't exist, but he treated the goat kid like a puppy."
tras,2,unknown,unknown
trendingdances,2,unknown,unknown
baile,2,"(usually ""baile funk"") A specific genre of dance music originating in Rio de Janeiro, also known as Funk Carioca",
died,2,To stop living; to become dead; to undergo death.,
tweets,2,The sound of a bird; any short high-pitched sound or whistle.,
fypage,2,unknown,unknown
sales,2,A hall.,
nes,2,unknown,unknown
smbassiofficial,1,unknown,unknown
kenya,1,unknown,unknown
nene,1,"The Hawaiian goose, Branta sandvicensis, which was designated the state bird of Hawaii in 1957.",
aletta,1,unknown,unknown
alettaocean,1,unknown,unknown
closeup,1,"A video or film recording made with the camera positioned close to an actor, often so that only the head or face is visible.",
margins,1,"The edge of the paper, typically left blank when printing but sometimes used for annotations etc.",
ska,1,A style of Jamaican dance music combining elements of Caribbean calypso and mento with American jazz and rhythm and blues.,
liten,1,unknown,unknown
snt,1,unknown,unknown
lilla,1,unknown,unknown
skulle,1,unknown,unknown
springa,1,unknown,unknown
efter,1,unknown,unknown
svans,1,unknown,unknown
fick,1,unknown,unknown
fatt,1,unknown,unknown
svansen,1,unknown,unknown
visan,1,unknown,unknown
lng,1,unknown,unknown
gng,1,unknown,unknown
slng,1,unknown,unknown
pse,1,unknown,unknown
kylen,1,unknown,unknown
pastasallad,1,unknown,unknown
imorgon,1,unknown,unknown
folks,1,A grouping of smaller peoples or tribes as a nation.,
cooked,1,"To prepare (food) for eating by heating it, often by combining it with other ingredients.",I'm cooking bangers and mash.
examples,1,Something that is representative of all such things in a group.,
bolleras,1,unknown,unknown
origins,1,The beginning of something.,
someones,1,unknown,unknown
mom,1,(familiar) mother.,
mates,1,The conclusive victory in a game of chess that occurs when an opponent's king is threatened with unavoidable capture.,
named,1,(ditransitive) To give a name to.,One visitor named Hou Yugang said he was not too concerned about climate change and Baishui’s melting.
tears,1,A hole or break caused by tearing.,"A small tear is easy to mend, if it is on the seam."
fears,1,"A strong, uncontrollable, unpleasant emotion or feeling caused by actual or perceived danger or threat.",He was struck by fear on seeing the snake.
peaks,1,"A point; the sharp end or top of anything that terminates in a point; as, the peak, or front, of a cap.",
taleplus,1,unknown,unknown
pdiddys,1,unknown,unknown
spellcheck,1,The act of spellchecking.,You'd better run another spellcheck now that you've written that extra chapter.
adapting,1,To make suitable; to make to correspond; to fit or suit,
typos,1,A typographical error.,
teenagers,1,A person between 13 and 19 years of age; an adolescent.,
jnnittv,1,unknown,unknown
jnn,1,unknown,unknown
briish,1,unknown,unknown
transphobe,1,unknown,unknown
zegt,1,unknown,unknown
grinnikend,1,unknown,unknown
gedachteloos,1,unknown,unknown
valt,1,unknown,unknown
geit,1,unknown,unknown
uit,1,unknown,unknown
mijn,1,unknown,unknown
mond,1,unknown,unknown
rocks,1,An enormous mythical bird in Eastern legend.,
refers,1,To direct the attention of.,
meanings,1,"(of words or symbols) The entity, perception, feeling or concept thereby represented or evoked.",
labidometer,1,unknown,unknown
pookie,1,unknown,unknown
americans,1,unknown,unknown
wherewhere,1,unknown,unknown
datahistory,1,unknown,unknown
regnvattentunna,1,unknown,unknown
klmma,1,unknown,unknown
tanken,1,unknown,unknown
slutar,1,unknown,unknown
fylla,1,unknown,unknown
ver,1,unknown,unknown
insamlingen,1,unknown,unknown
nonarmy,1,unknown,unknown
dailybts,1,unknown,unknown
adultkimmy,1,unknown,unknown
gibbler,1,unknown,unknown
imitated,1,"To follow as a model or a pattern; to make a copy, counterpart or semblance of.",
modernday,1,unknown,unknown
httpspuzzledcrosscompuzzlesportinglife,1,unknown,unknown
recorded,1,To make a record of information.,"I wanted to record every detail of what happened, for the benefit of future generations."
lgbtq,1,unknown,unknown
dictionarywords,1,unknown,unknown
pinkukcomstayinginsl,1,unknown,unknown
coined,1,"To make of a definite fineness, and convert into coins, as a mass of metal.",to coin a medal
scared,1,"To frighten, terrify, startle, especially in a minor way.","Did it scare you when I said ""Boo!""?"
memories,1,The ability of the brain to record information or impressions with the facility of recalling them later at will.,Memory is a facility common to all animals.
starts,1,The beginning of an activity.,The movie was entertaining from start to finish.
opinions,1,"A subjective belief, judgment or perspective that a person has formed about a topic, issue, person or thing.",Every man is a fool in some man's opinion.
sellers,1,"An enclosed underground space, often under a building, used for storage or shelter.",
locals,1,A person who lives near a given place.,It's easy to tell the locals from the tourists.
phrases,1,A short written or spoken expression.,
unalived,1,unknown,unknown
cutesy,1,"Overly, affectedly or unnecessarily cute; too cute to be taken seriously.",The couple called each other cutesy pet names that disgusted everyone else.
flicking,1,"To move or hit (something) with a short, quick motion.",flick one's hair
spelunking,1,To explore caves.,
funniest,1,Amusing; humorous; comical.,"When I went to the circus, I only found the clowns funny."
coyotes,1,"Canis latrans, a species of canine native to North America.",
doses,1,unknown,unknown
hang,1,The way in which something hangs.,This skirt has a nice hang.
originated,1,"To cause to be, to bring into existence; to produce, initiate.",
evolved,1,To move in regular procession through a system.,
acronyms,1,"An abbreviation formed by the initial letters of other words, sometimes exclusively such abbreviations when pronounced as a word (as ""laser"") rather than as individual letters (initialisms such as ""TNT"").",
sybau,1,unknown,unknown
abbreviated,1,To shorten by omitting parts or details.,
skychildren,1,unknown,unknown
solutions,1,"A homogeneous mixture, which may be liquid, gas or solid, formed by dissolving one or more substances.",
typing,1,To put text on paper using a typewriter.,
replicating,1,To make a copy (replica) of.,"On entering a host cell, a virus will start to replicate."
inverting,1,To turn (something) upside down or inside out; to place in a contrary order or direction.,"to invert a cup, the order of words, rules of justice, etc."
pursuing,1,"To follow urgently, originally with intent to capture or harm; to chase.",
dictionaries,1,"A reference work with a list of words from one or more languages, normally ordered alphabetically, explaining each word's meaning, and sometimes containing information on its etymology, pronunciation, usage, translations, and other data.",
tricked,1,To fool; to cause to believe something untrue; to deceive.,You tried to trick me when you said that house was underpriced.
addresses,1,Direction.,
taobao,1,unknown,unknown
sources,1,"The person, place or thing from which something (information, goods, etc.) comes or is acquired.",The accused refused to reveal the source of the illegal drugs she was selling.
inputs,1,The act or process of putting in; infusion.,
lelystad,1,unknown,unknown
meterlange,1,unknown,unknown
duikt,1,unknown,unknown
woonkamer,1,unknown,unknown
bewoners,1,unknown,unknown
schrikken,1,unknown,unknown
ontzettend,1,unknown,unknown
oooooh,1,unknown,unknown
punwordplay,1,unknown,unknown
