word,HuggingFaceTB/SmolLM2-135M,Qwen/Qwen3-0.6B,gemini-1.5-flash,gemini-2.0-flash-lite,gemini-2.5-flash,gemini-2.5-pro,google/gemma-3-1b-it,gpt2
digitalart,0.4865,0.49175,0.65955,0.56185,0.5388999999999999,0.65365,0.46495,0.4092
dms,0.1857,0.15565,0.5500499999999999,0.7677499999999999,0.83495,0.7030000000000001,0.4707,0.1997
doja,0.41,0.1827,0.7508,0.6979,0.8230999999999999,0.78375,0.4014,0.40004999999999996
egirl,0.26980000000000004,0.31665,0.4263,0.4682,0.4829,0.4153,0.38025000000000003,0.37185
emojis,0.36685,0.1681,0.5521,0.6171,0.6528499999999999,0.6389,0.34465,0.25475
examripper,0.28504999999999997,0.29335,0.3022,0.2969,0.36645000000000005,0.41159999999999997,0.36805,0.2731
facebook,0.41835,0.52675,0.41525,0.54605,0.6855,0.6239,0.31065,0.36325
fanart,0.35660000000000003,0.33494999999999997,0.6414500000000001,0.5457,0.62,0.5881,0.3625,0.2736
faq,0.32495,0.40205,0.7342500000000001,0.7342500000000001,0.5776,0.6653,0.31379999999999997,0.2404
fav,0.16615,0.21655000000000002,0.41715,0.45904999999999996,0.41715,0.41715,0.1095,0.1424
feels,0.24925000000000003,0.2698,0.49865000000000004,0.4022,0.3227,0.3367,0.19105,0.1852
femboy,0.30179999999999996,0.3281,0.5248999999999999,0.5629500000000001,0.55555,0.61995,0.3656,0.33035
fortnite,0.4145,0.30225,0.67885,0.66445,0.6125,0.7974,0.54355,0.2879
foryou,0.23370000000000002,0.23345,0.675,0.49024999999999996,0.4643,0.5334,0.2824,0.26255
furryart,0.30874999999999997,0.20729999999999998,0.64635,0.49829999999999997,0.7001999999999999,0.7201500000000001,0.3884,0.27435
fyp,0.23195,0.1289,0.3958,0.5084,0.48560000000000003,0.5123,0.3111,0.22915000000000002
fypage,0.10545,0.2777,0.6926,0.8007,0.54155,0.5194,0.31684999999999997,0.11664999999999999
fypviral,0.1291,0.12745,,,,,0.32645,0.079
gamedev,0.4666,0.3449,0.7287,0.7462,0.8625,0.7918000000000001,0.54145,0.42610000000000003
genshin,0.3895,0.3094,0.78555,0.75275,0.8593999999999999,0.8461000000000001,0.49435,0.39959999999999996
gifs,0.27165,0.1875,0.5792,0.37495,0.54135,0.3267,0.3392,0.20735
google,0.5647,0.4803,0.6046499999999999,0.69035,0.7152000000000001,0.6436,0.34505,0.35545
goonsky,0.12095,0.30319999999999997,0.219,0.31165,0.24695,0.3267,0.43955,0.306
hashtags,0.41595,0.2398,0.5237499999999999,0.6234,0.5573,0.633,0.5085500000000001,0.42605000000000004
huns,0.27075,0.192,0.2569,0.3336,0.25105,0.2395,0.25075000000000003,0.2635
hype,0.154,0.1912,0.1997,0.2051,0.35850000000000004,0.28245,0.16515,0.16995000000000002
icl,0.24505000000000002,0.25970000000000004,0.5703,0.44745,0.7484999999999999,0.679,0.21115,0.28035
iirc,0.28925,0.37249999999999994,0.34909999999999997,0.44904999999999995,0.59185,0.40525,0.21645,0.17825
indiedev,0.36105000000000004,0.34985,0.5478999999999999,0.6328,0.71065,0.6517999999999999,0.4628,0.3036
instadaily,0.2677,0.34604999999999997,0.6124,0.372,0.6382,0.5548,0.34235000000000004,0.2013
instagood,0.28085,0.16849999999999998,0.68695,0.5769,0.6218,0.6159,0.29865,0.27
instagram,0.44825000000000004,0.48944999999999994,0.7516,0.59655,0.7028,0.7283,0.22560000000000002,0.38515
jorts,0.2232,0.2101,0.47404999999999997,0.38320000000000004,0.5787,0.47404999999999997,0.19899999999999998,0.1766
karmafarm,0.26495,0.1872,0.39890000000000003,0.38320000000000004,0.39895,0.4388,0.3036,0.25055
kinda,0.32989999999999997,0.19275,0.5650999999999999,0.6625000000000001,0.4235,0.47935,0.24355,0.2846
labubu,0.0915,0.0245,0.25985,0.3519,0.27635,0.35275,0.08655,0.0511
lgbtq,0.583,0.5507,0.6032,0.6321,0.7274499999999999,0.83755,0.3473,0.3784
lol,0.38705,0.20934999999999998,0.414,0.40035,0.55335,0.4457,0.54505,0.3126
looped,0.4518,0.3377,0.2963,0.2809,0.33540000000000003,0.3472,0.26849999999999996,0.3469
lowkey,0.26455,0.24814999999999998,0.36129999999999995,0.35014999999999996,0.3589,0.34565,0.4284,0.2612
meme,0.20529999999999998,0.2925,0.41964999999999997,0.24435,0.24609999999999999,0.25265,0.27499999999999997,0.14300000000000002
memecoins,0.2641,0.2908,0.5181,0.50125,0.65055,0.52215,0.4686,0.22495
mme,0.30165,0.41790000000000005,0.17970000000000003,0.15234999999999999,0.239,0.22885,0.35965,0.2744
namedropped,0.22235,0.12245,0.50125,0.43000000000000005,0.5758,0.48605,0.22095,0.23165000000000002
nsfw,0.1391,0.29075,0.6408,0.6368,0.7219,0.6684,0.3399,0.27180000000000004
nyt,0.37744999999999995,0.5015000000000001,0.56225,0.5164,0.8498,0.77335,0.3194,0.32695
omegle,0.0771,0.06815,0.57805,0.46654999999999996,0.7873,0.5245500000000001,0.1242,0.05865
ootl,0.2132,0.23804999999999998,0.597,0.6010500000000001,0.8097,0.68645,0.18080000000000002,0.22849999999999998
paparazzi,0.24615,0.16060000000000002,0.1233,0.11465,0.104,0.113,0.4727,0.3233
pmo,0.1737,0.13485,0.1789,0.8108500000000001,0.38249999999999995,0.37775,0.19345,0.1584
realnsfw,0.1729,0.20024999999999998,0.63735,0.58735,0.63225,0.5067,0.18235,0.2338
reddit,0.34315,0.48460000000000003,0.4747,0.71075,0.6968000000000001,0.6337999999999999,0.45875,0.3031
reels,0.11635000000000001,0.1605,0.8610500000000001,0.6934499999999999,0.5472,0.5653,0.08615,0.0324
riddled,0.13855,0.20475,0.17925,0.18685000000000002,0.19740000000000002,0.28885,0.21935,0.17049999999999998
skibidi,0.21384999999999998,0.1317,0.33825,0.39425,0.4083,0.22335,0.29200000000000004,0.24519999999999997
spicysky,0.28765,0.25085,0.39459999999999995,0.096,0.3535,0.50535,0.3136,0.26115
spinoff,0.09165,0.0868,0.20975,0.1975,0.17049999999999998,0.1983,0.1247,0.10475
subreddit,0.3902,0.3812,0.44385,0.49255000000000004,0.39095,0.4579,0.39365,0.2301
sybau,0.28965,0.1534,0.2331,0.3699,0.35645,0.3134,0.33835,0.1753
tbh,0.23525000000000001,0.21725,0.2405,0.2405,0.54235,0.43320000000000003,0.4325,0.23095
tiktok,0.4152,0.5027,0.7315,0.5428,0.6807,0.7112499999999999,0.2768,0.15015
tiktokers,0.51605,0.48605,0.64845,0.68635,0.6273500000000001,0.68635,0.52685,0.38375000000000004
tiktokviral,0.42774999999999996,0.487,0.61105,0.53675,0.5780000000000001,0.5389999999999999,0.5161,0.35919999999999996
trolls,0.3188,0.16294999999999998,0.7572,0.6145499999999999,0.62015,0.8479,0.37585,0.2576
tryna,0.30665,0.38985000000000003,0.45615,0.6126,0.60705,0.90255,0.41815,0.35755000000000003
unc,0.25,0.2484,0.49895,0.5214,0.5324,0.5779,0.15645,0.2309
viralshorts,0.27285000000000004,0.5396000000000001,0.7871,0.6770499999999999,0.58785,0.5478000000000001,0.43505,0.2125
viralvideos,0.4971,0.46745,,,0.7933,0.5924,0.5487,0.34695
vlog,0.48164999999999997,0.3831,0.3523,0.30765,0.36669999999999997,0.38055,0.52235,0.31585
vro,0.22045,0.21144999999999997,0.3664,0.29009999999999997,0.54935,0.5222,0.16085,0.11965
vtuber,0.27035,0.44194999999999995,0.6091500000000001,0.6929,0.66395,0.6791,0.43520000000000003,0.2643
youtube,0.29635,0.4788,0.41285,0.6607000000000001,0.5899,0.6309,0.24745,0.2607
zot,0.03495,0.0154,0.08265,0.06295,0.56355,0.48229999999999995,0.13445000000000001,0.00505
